"","lat","lon","region","season","bottemp.clim","surftemp.clim","depth","bottemp.clim.int","surftemp.clim.int","latgrid","longrid"
"377",42.875,292.375,"DFO_ScotianShelf",1,8.55,5.1,123,8.55,5.1,42.5,292.5
"387",42.625,292.625,"DFO_ScotianShelf",1,8.19827586206897,4.15172413793103,150.98275862069,8.19827586206897,4.15172413793103,42.5,292.5
"388",42.875,292.625,"DFO_ScotianShelf",1,9.09,1.6,111,9.09,1.6,42.5,292.5
"389",43.125,292.625,"DFO_ScotianShelf",1,8.00222222222222,4.02,112.194444444444,8.00222222222222,4.02,43.5,292.5
"390",43.625,292.625,"DFO_ScotianShelf",1,5.9175,5.365625,119.625,5.9175,5.365625,43.5,292.5
"391",44.125,292.625,"DFO_ScotianShelf",1,7.76,4.19,122.5,7.76,4.19,44.5,292.5
"399",42.125,292.875,"DFO_ScotianShelf",1,5.57350267379679,3.93491886588029,42.2014354066986,5.57350267379679,3.93491886588029,42.5,292.5
"400",42.625,292.875,"DFO_ScotianShelf",1,7.86614285714286,4.09285714285714,150.378571428571,7.86614285714286,4.09285714285714,42.5,292.5
"401",42.875,292.875,"DFO_ScotianShelf",1,6.82,4.4,125,6.82,4.4,42.5,292.5
"402",43.125,292.875,"DFO_ScotianShelf",1,6.5962962962963,3.9037037037037,114.925925925926,6.5962962962963,3.9037037037037,43.5,292.5
"403",43.375,292.875,"DFO_ScotianShelf",1,7.645,2.7,127,7.645,2.7,43.5,292.5
"404",43.625,292.875,"DFO_ScotianShelf",1,5.17,4.2,78.5,5.17,4.2,43.5,292.5
"405",44.125,292.875,"DFO_ScotianShelf",1,4.46,3.7,80,4.46,3.7,44.5,292.5
"406",44.375,292.875,"DFO_ScotianShelf",1,5.7,4,97,5.7,4,44.5,292.5
"407",44.625,292.875,"DFO_ScotianShelf",1,2.09,2.35,43.5,2.09,2.35,44.5,292.5
"413",41.875,293.125,"DFO_ScotianShelf",1,4.02921319890979,4.67025485061504,34.6548083023656,4.02921319890979,4.67025485061504,41.5,293.5
"414",42.125,293.125,"DFO_ScotianShelf",1,5.93658575225944,3.85119754287315,51.4346588806558,5.93658575225944,3.85119754287315,42.5,293.5
"415",42.375,293.125,"DFO_ScotianShelf",1,7.47608695652174,4.62173913043478,177.5,7.47608695652174,4.62173913043478,42.5,293.5
"416",42.625,293.125,"DFO_ScotianShelf",1,6.74,2.3,120,6.74,2.3,42.5,293.5
"417",42.875,293.125,"DFO_ScotianShelf",1,8.795,3.9,106,8.795,3.9,42.5,293.5
"418",43.125,293.125,"DFO_ScotianShelf",1,7.69346153846154,3.72435897435897,96.7029914529915,7.69346153846154,3.72435897435897,43.5,293.5
"419",43.375,293.125,"DFO_ScotianShelf",1,6.24383561643836,4.23150684931507,99.9315068493151,6.24383561643836,4.23150684931507,43.5,293.5
"420",43.625,293.125,"DFO_ScotianShelf",1,6.63,2.9,88,6.63,2.9,43.5,293.5
"421",43.875,293.125,"DFO_ScotianShelf",1,5.09,4.9,72,5.09,4.9,43.5,293.5
"422",44.125,293.125,"DFO_ScotianShelf",1,4.25051724137931,3.8001724137931,77.0603448275862,4.25051724137931,3.8001724137931,44.5,293.5
"423",44.375,293.125,"DFO_ScotianShelf",1,5.48604651162791,3.17441860465116,57.3372093023256,5.48604651162791,3.17441860465116,44.5,293.5
"424",44.625,293.125,"DFO_ScotianShelf",1,2.67,2.7,45.5,2.67,2.7,44.5,293.5
"429",41.625,293.375,"DFO_ScotianShelf",1,4.64606732228081,4.87088756063679,38.923708979454,4.64606732228081,4.87088756063679,41.5,293.5
"430",41.875,293.375,"DFO_ScotianShelf",1,4.52575236044033,4.79437610422477,37.4320095329648,4.52575236044033,4.79437610422477,41.5,293.5
"432",42.375,293.375,"DFO_ScotianShelf",1,7.705,3.65,121,7.705,3.65,42.5,293.5
"433",42.625,293.375,"DFO_ScotianShelf",1,7.60828571428571,3.86428571428571,95.2285714285714,7.60828571428571,3.86428571428571,42.5,293.5
"434",42.875,293.375,"DFO_ScotianShelf",1,8.70607142857143,4.1125,86.2678571428571,8.70607142857143,4.1125,42.5,293.5
"435",43.125,293.375,"DFO_ScotianShelf",1,4.43,3.1,71,4.43,3.1,43.5,293.5
"436",43.875,293.375,"DFO_ScotianShelf",1,4.12666666666667,3.48888888888889,59.4777777777778,4.12666666666667,3.48888888888889,43.5,293.5
"437",44.125,293.375,"DFO_ScotianShelf",1,4.76,4.265,50.6,4.76,4.265,44.5,293.5
"438",44.375,293.375,"DFO_ScotianShelf",1,4.0475,3.5,94.625,4.0475,3.5,44.5,293.5
"439",44.875,293.375,"DFO_ScotianShelf",1,3.15472727272727,2.69454545454545,63.8545454545455,3.15472727272727,2.69454545454545,44.5,293.5
"441",41.375,293.625,"DFO_ScotianShelf",1,5.67090150688838,4.7577783876387,51.0026168671154,5.67090150688838,4.7577783876387,41.5,293.5
"442",41.625,293.625,"DFO_ScotianShelf",1,4.73049049459847,4.6222309444404,45.3766760964265,4.73049049459847,4.6222309444404,41.5,293.5
"443",41.875,293.625,"DFO_ScotianShelf",1,4.58633476710842,4.89088327957258,44.0783227433214,4.58633476710842,4.89088327957258,41.5,293.5
"444",42.125,293.625,"DFO_ScotianShelf",1,5.32994104048679,4.02788275317426,49.7847432725396,5.32994104048679,4.02788275317426,42.5,293.5
"445",42.375,293.625,"DFO_ScotianShelf",1,4.47,4.1,153.5,4.47,4.1,42.5,293.5
"446",42.625,293.625,"DFO_ScotianShelf",1,4.26807692307692,2.10192307692308,48.4038461538462,4.26807692307692,2.10192307692308,42.5,293.5
"447",43.875,293.625,"DFO_ScotianShelf",1,3.18103448275862,3.5,31.3275862068966,3.18103448275862,3.5,43.5,293.5
"448",44.125,293.625,"DFO_ScotianShelf",1,2.60387096774194,2.25935483870968,39.1451612903226,2.60387096774194,2.25935483870968,44.5,293.5
"449",44.375,293.625,"DFO_ScotianShelf",1,2.955,2.975,79,2.955,2.975,44.5,293.5
"450",44.625,293.625,"DFO_ScotianShelf",1,3.525625,3.55625,85.0625,3.525625,3.55625,44.5,293.5
"451",44.875,293.625,"DFO_ScotianShelf",1,2.58425,3.12,79.5375,2.58425,3.12,44.5,293.5
"452",45.125,293.625,"DFO_ScotianShelf",1,1.701,1.637,43.35,1.701,1.637,45.5,293.5
"455",41.875,293.875,"DFO_ScotianShelf",1,5.21059158885145,4.61838247900972,47.969053311725,5.21059158885145,4.61838247900972,41.5,293.5
"456",42.125,293.875,"DFO_ScotianShelf",1,6.22309549973836,3.68424395794561,54.7680761267718,6.22309549973836,3.68424395794561,42.5,293.5
"457",42.625,293.875,"DFO_ScotianShelf",1,4.31461538461538,2.9625641025641,38.0512820512821,4.31461538461538,2.9625641025641,42.5,293.5
"458",42.875,293.875,"DFO_ScotianShelf",1,2.75,3,41.5,2.75,3,42.5,293.5
"459",44.375,293.875,"DFO_ScotianShelf",1,3.3,3.7,48,3.3,3.7,44.5,293.5
"460",44.625,293.875,"DFO_ScotianShelf",1,3.112,2.87833333333333,65.325,3.112,2.87833333333333,44.5,293.5
"461",44.875,293.875,"DFO_ScotianShelf",1,2.59,2.8,54,2.59,2.8,44.5,293.5
"463",41.625,294.125,"DFO_ScotianShelf",1,7.81007294429708,4.52199150938536,73.3684503362211,7.81007294429708,4.52199150938536,41.5,294.5
"464",41.875,294.125,"DFO_ScotianShelf",1,6.91819264069264,4.34065112104318,64.0601441241685,6.91819264069264,4.34065112104318,41.5,294.5
